,manufacturer,price,number_of_reviews,number_of_answered_questions,average_review_rating,price_min,price_max,number_available_in_stock,collectible,new,refurbished,unavailable,used,condition
0,Hornby,3.42,15,1.0,4.9,3.42,3.42,5,0,1,0,0,0,new
1,FunkyBuys,16.99,2,1.0,4.5,16.99,16.99,0,0,0,0,1,0,unavailable
2,ccf,9.99,17,2.0,3.9,9.99,9.99,2,0,1,0,0,0,new
3,Hornby,39.99,1,2.0,5.0,39.99,39.99,0,0,0,0,1,0,unavailable
4,Hornby,32.19,3,2.0,4.7,32.19,32.19,0,0,0,0,1,0,unavailable
5,Generic,6.99,2,1.0,5.0,6.99,6.99,0,0,0,0,1,0,unavailable
6,Hornby,24.99,2,1.0,4.5,24.99,24.99,0,0,0,0,1,0,unavailable
7,Hornby,69.93,36,7.0,4.3,69.93,69.93,3,0,1,0,0,0,new
8,Hornby,235.58,1,1.0,5.0,235.58,235.58,4,0,1,0,0,0,new
9,Hornby,27.49,1,1.0,5.0,27.49,27.49,6,0,1,0,0,0,new
10,Kato (USA),273.60,1,1.0,5.0,273.6,273.6,0,0,0,0,1,0,unavailable
11,Bachmann,9.60,1,1.0,5.0,9.6,9.6,2,0,1,0,0,0,new
12,Hornby,119.50,3,1.0,5.0,119.5,119.5,2,0,1,0,0,0,new
13,Kato,17.08,1,1.0,4.0,17.08,17.08,26,0,1,0,0,0,new
14,Bachmann,96.05,1,1.0,5.0,96.05,96.05,2,0,1,0,0,0,new
15,Preiser,27.55,1,1.0,5.0,27.55,27.55,0,0,0,0,1,0,unavailable
16,Preiser,24.50,1,1.0,5.0,24.5,24.5,2,0,1,0,0,0,new
17,Bachmann,149.92,1,1.0,5.0,149.92,149.92,0,0,0,0,1,0,unavailable
18,Takara Tomy,12.87,1,1.0,5.0,12.87,12.87,37,0,1,0,0,0,new
19,Roco,49.95,1,1.0,5.0,49.95,49.95,0,0,0,0,1,0,unavailable
20,Takara Tomy,14.44,1,1.0,5.0,14.44,14.44,35,0,1,0,0,0,new
21,Gaugemaster,5.95,5,1.0,4.8,5.95,5.95,0,0,0,0,1,0,unavailable
22,Hornby,139.95,1,1.0,5.0,139.95,139.95,3,0,1,0,0,0,new
23,Fisher-Price,19.99,3,1.0,5.0,19.99,19.99,0,0,0,0,1,0,unavailable
24,Faller,25.50,1,1.0,4.0,25.5,25.5,4,0,1,0,0,0,new
25,Bachmann,99.95,2,1.0,4.5,99.95,99.95,2,0,1,0,0,0,new
26,Kato,49.33,2,1.0,5.0,49.33,49.33,22,0,1,0,0,0,new
27,Hornby,82.31,19,1.0,4.2,82.31,82.31,11,0,1,0,0,0,new
28,Dapol,14.99,1,1.0,5.0,14.99,14.99,0,0,0,0,1,0,unavailable
29,Hornby,69.99,17,1.0,4.8,69.99,69.99,11,0,1,0,0,0,new
30,Ratio,3.40,1,1.0,5.0,3.4,3.4,0,0,0,0,1,0,unavailable
31,Kato,50.81,1,1.0,5.0,50.81,50.81,16,0,1,0,0,0,new
32,ARSUK,4.99,1,1.0,4.0,4.99,4.99,0,0,0,0,1,0,unavailable
33,Trix,36.51,1,1.0,5.0,36.51,36.51,0,0,0,0,1,0,unavailable
34,Dapol,14.99,1,1.0,5.0,14.99,14.99,2,0,1,0,0,0,new
35,Takara Tomy,11.58,1,1.0,5.0,11.58,11.58,31,0,1,0,0,0,new
36,Hornby,79.95,53,2.0,4.6,79.95,79.95,9,0,1,0,0,0,new
37,RAILWAY - BACHMANN,135.00,3,2.0,4.7,135.0,135.0,0,0,0,0,1,0,unavailable
38,Kato,42.98,1,1.0,5.0,42.98,42.98,29,0,1,0,0,0,new
39,Busch,50.01,1,1.0,5.0,50.01,50.01,0,0,0,0,1,0,unavailable
40,Piko,34.95,1,1.0,5.0,34.95,34.95,0,0,0,0,1,0,unavailable
41,Hornby,28.99,5,1.0,4.6,28.99,28.99,6,0,1,0,0,0,new
42,Corgi,59.99,4,1.0,4.8,59.99,59.99,5,0,1,0,0,0,new
43,Bachmann,96.00,1,1.0,5.0,96.0,96.0,2,0,1,0,0,0,new
44,Kato,35.20,1,1.0,5.0,35.2,35.2,2,0,1,0,0,0,new
45,Gaugemaster,39.03,6,1.0,4.8,39.03,39.03,3,0,1,0,0,0,new
46,Dapol,15.25,1,1.0,5.0,15.25,15.25,0,0,0,0,1,0,unavailable
47,Sohni-Wicke,167.10,1,1.0,5.0,167.1,167.1,0,0,0,0,1,0,unavailable
48,Hornby,98.50,6,1.0,4.7,98.5,98.5,9,0,1,0,0,0,new
49,Piko,19.95,1,1.0,5.0,19.95,19.95,0,0,0,0,1,0,unavailable
50,Train Tech,35.00,3,1.0,4.3,35.0,35.0,0,0,0,0,1,0,unavailable
51,Kato,51.61,1,1.0,5.0,51.61,51.61,33,0,1,0,0,0,new
52,Hornby,30.99,38,1.0,4.6,30.99,30.99,7,0,1,0,0,0,new
53,Roco,6.50,3,1.0,4.7,6.5,6.5,2,0,1,0,0,0,new
54,CATO,45.75,1,1.0,5.0,45.75,45.75,13,0,1,0,0,0,new
55,Dapol,74.60,7,1.0,4.6,74.6,74.6,4,0,1,0,0,0,new
56,Hornby,74.99,4,1.0,4.8,74.99,74.99,3,0,1,0,0,0,new
57,POWER CITY TRAINS,76.99,0,1.0,0.0,76.99,76.99,2,0,1,0,0,0,new
58,Train,27.60,1,1.0,5.0,27.6,27.6,19,0,1,0,0,0,new
59,Train Tech,8.00,1,1.0,5.0,8.0,8.0,0,0,0,0,1,0,unavailable
60,Kato,11.01,3,1.0,5.0,11.01,11.01,27,0,1,0,0,0,new
61,Bachmann,100.00,1,1.0,4.0,100.0,100.0,2,0,1,0,0,0,new
62,Piko,177.99,1,1.0,5.0,177.99,177.99,0,0,0,0,1,0,unavailable
63,Dapol,10.20,3,1.0,4.0,10.2,10.2,0,0,0,0,1,0,unavailable
64,Ratio,22.25,1,1.0,5.0,22.25,22.25,0,0,0,0,1,0,unavailable
65,Piko,15.75,1,1.0,5.0,15.75,15.75,3,0,1,0,0,0,new
66,Hornby,89.99,1,1.0,5.0,89.99,89.99,3,0,1,0,0,0,new
67,Sales La,5.99,3,1.0,4.0,5.99,5.99,0,0,0,0,1,0,unavailable
68,Dapol,12.30,1,1.0,4.0,12.3,12.3,2,0,1,0,0,0,new
69,Corgi,14.99,6,1.0,5.0,14.99,14.99,12,0,1,0,0,0,new
70,Märklin my world,7.99,1,1.0,5.0,7.99,7.99,10,0,1,0,0,0,new
71,Bachmann,104.66,2,1.0,5.0,104.66,104.66,4,0,1,0,0,0,new
72,Mattel,13.87,1,1.0,5.0,13.87,13.87,6,0,1,0,0,0,new
73,Generic,2.98,4,1.0,5.0,2.98,2.98,6,0,1,0,0,0,new
74,Hornby,60.25,2,1.0,5.0,60.25,60.25,0,0,0,0,1,0,unavailable
75,Hornby,129.95,9,1.0,4.2,129.95,129.95,3,0,1,0,0,0,new
76,Hornby,119.99,1,1.0,5.0,119.99,119.99,0,0,0,0,1,0,unavailable
77,Hornby,65.76,1,1.0,5.0,65.76,65.76,9,0,1,0,0,0,new
78,Graham Farish,26.50,1,1.0,4.0,26.5,26.5,0,0,0,0,1,0,unavailable
79,RAILWAY - BACHMANN,29.99,1,1.0,5.0,29.99,29.99,0,0,0,0,1,0,unavailable
80,Hornby,116.10,1,1.0,5.0,116.1,116.1,5,0,1,0,0,0,new
81,Ratio,11.00,1,1.0,5.0,11.0,11.0,0,0,0,0,1,0,unavailable
82,Hornby,89.99,1,1.0,5.0,89.99,89.99,2,0,1,0,0,0,new
83,Power Trains,8.99,1,1.0,5.0,8.99,8.99,3,0,1,0,0,0,new
84,Carousel,36.35,8,1.0,4.1,36.35,36.35,5,0,1,0,0,0,new
85,Hornby,27.99,5,1.0,4.8,27.99,27.99,0,0,0,0,1,0,unavailable
86,Piko,20.00,1,1.0,5.0,20.0,20.0,0,0,0,0,1,0,unavailable
87,Hornby,105.00,1,1.0,5.0,105.0,105.0,2,0,1,0,0,0,new
88,Trix,27.40,1,1.0,5.0,27.4,27.4,0,0,0,0,1,0,unavailable
89,Peptim Scenics,3.95,1,1.0,4.0,3.95,3.95,0,0,0,0,1,0,unavailable
90,Walthers Trainline,15.00,1,1.0,5.0,15.0,15.0,2,0,1,0,0,0,new
91,Preiser,137.16,1,1.0,5.0,137.16,137.16,0,0,0,0,1,0,unavailable
92,Kato,163.88,1,1.0,5.0,163.88,163.88,5,0,1,0,0,0,new
93,Woodland Scenics,14.57,1,1.0,5.0,14.57,14.57,6,0,1,0,0,0,new
94,Hornby,21.95,4,1.0,4.8,21.95,21.95,6,0,1,0,0,0,new
95,Hornby,49.99,18,1.0,4.6,49.99,49.99,4,0,1,0,0,0,new
96,Ratio,10.69,2,1.0,5.0,10.69,10.69,2,0,1,0,0,0,new
97,Roco,49.95,1,1.0,5.0,49.95,49.95,0,0,0,0,1,0,unavailable
98,Kato,70.50,2,1.0,5.0,70.5,70.5,19,0,1,0,0,0,new
99,RAILWAY - BACHMANN,33.99,1,1.0,4.0,33.99,33.99,2,0,1,0,0,0,new
100,Kato,20.31,2,1.0,5.0,20.31,20.31,35,0,1,0,0,0,new
101,Peco,1.95,2,1.0,4.5,1.95,1.95,5,0,1,0,0,0,new
102,Hornby,79.95,17,1.0,4.4,79.95,79.95,7,0,1,0,0,0,new
103,Hornby,19.95,1,1.0,4.0,19.95,19.95,3,0,1,0,0,0,new
104,ARSUK,5.70,2,1.0,4.5,5.7,5.7,2,0,1,0,0,0,new
105,Dapol,9.65,1,1.0,5.0,9.65,9.65,4,0,1,0,0,0,new
106,Hornby,141.23,5,1.0,4.4,141.23,141.23,9,0,1,0,0,0,new
107,Corgi,83.04,1,1.0,5.0,83.04,83.04,7,0,1,0,0,0,new
108,Power Trains,21.95,1,1.0,5.0,21.95,21.95,3,0,1,0,0,0,new
109,Fisher Price,16.50,5,1.0,5.0,16.5,16.5,2,0,1,0,0,0,new
110,Hornby,18.99,1,1.0,4.0,18.99,18.99,6,0,1,0,0,0,new
111,Kato,11.04,2,,5.0,11.04,11.04,39,0,1,0,0,0,new
112,Generic,4.99,1,2.0,5.0,4.99,4.99,0,0,0,0,1,0,unavailable
113,Dapol,22.50,1,2.0,5.0,22.5,22.5,0,0,0,0,1,0,unavailable
114,Hornby,18.12,1,2.0,5.0,18.12,18.12,6,0,1,0,0,0,new
115,Hornby,169.99,1,2.0,4.0,169.99,169.99,3,0,1,0,0,0,new
116,Hornby,63.99,97,2.0,4.4,63.99,63.99,18,0,1,0,0,0,new
117,Bachmann,104.71,2,2.0,4.5,104.71,104.71,4,0,1,0,0,0,new
118,Faller,82.76,5,2.0,4.0,82.76,82.76,5,0,1,0,0,0,new
119,Power Trains,22.95,1,2.0,5.0,22.95,22.95,2,0,1,0,0,0,new
120,Hornby,166.04,1,2.0,5.0,166.04,166.04,0,0,0,0,1,0,unavailable
121,Jouef,37.09,1,2.0,5.0,37.09,37.09,0,0,0,0,1,0,unavailable
122,Bachmann,124.93,1,2.0,5.0,124.93,124.93,0,0,0,0,1,0,unavailable
123,Bachmann,12.00,1,2.0,5.0,12.0,12.0,2,0,1,0,0,0,new
124,Trix,41.87,1,2.0,5.0,41.87,41.87,0,0,0,0,1,0,unavailable
125,RAILWAY - BACHMANN,28.98,1,2.0,5.0,28.98,28.98,3,0,1,0,0,0,new
126,Preiser,20.21,1,2.0,5.0,20.21,20.21,4,0,1,0,0,0,new
127,Takara Tomy,11.08,1,2.0,5.0,11.08,11.08,38,0,1,0,0,0,new
128,Corgi,32.70,5,2.0,5.0,32.7,32.7,4,0,1,0,0,0,new
129,Hornby,51.53,1,2.0,5.0,51.53,51.53,4,0,1,0,0,0,new
130,Plan Toys,15.83,1,2.0,5.0,15.83,15.83,8,0,1,0,0,0,new
131,Hornby,107.99,2,2.0,5.0,107.99,107.99,0,0,0,0,1,0,unavailable
132,Dapol,11.95,4,2.0,4.3,11.95,11.95,4,0,1,0,0,0,new
133,Dapol,100.00,1,2.0,4.0,100.0,100.0,2,0,1,0,0,0,new
134,Bandai,22.58,1,2.0,5.0,22.58,22.58,9,0,1,0,0,0,new
135,Dapol,6.99,4,2.0,5.0,6.99,6.99,5,0,1,0,0,0,new
136,Atlas,4.00,1,2.0,5.0,4.0,4.0,0,0,0,0,1,0,unavailable
